id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
281,121.4859119,31.37234805,0.790848909,0.828713786,0.781565528,0.72759474,0.672065978,0.70044393,0.750205479
343,121.4868334,31.37284005,0.832218766,0.796780425,0.808885083,0.74201084,0.653464826,0.722092458,0.759242066
344,121.487304,31.37307495,0.804310417,0.818555071,0.796963727,0.735018609,0.660617828,0.707192436,0.753776348
345,121.4877882,31.37327549,0.720949705,0.84232225,0.744835443,0.705686177,0.671539452,0.660180648,0.724252279
527,121.4625537,31.36675447,0.309520868,0.24131393,0.342917361,0.358472699,0.371562451,0.388549449,0.33538946
528,121.4627201,31.36625732,0.832033725,0.55770331,0.779238789,0.686162112,0.546678676,0.697450505,0.683211186
529,121.4628852,31.36576004,0.758375056,0.556872772,0.710753873,0.634477115,0.550789704,0.649483253,0.643458629
530,121.4630593,31.36526607,0.607088692,0.372894552,0.597043064,0.535508466,0.441652907,0.553342446,0.517921688
531,121.4632525,31.36478098,0.520791537,0.322775907,0.519957159,0.471874287,0.424795419,0.505218141,0.460902075
532,121.4634084,31.36428051,0.87771699,0.621910363,0.818688935,0.733274,0.578254697,0.736500578,0.727724261
533,121.4635825,31.3637864,0.821882467,0.533003583,0.772578829,0.684867699,0.526073873,0.688413121,0.671136595
534,121.4637455,31.36328842,0.892996042,0.694502622,0.834434538,0.75638192,0.617310687,0.756172573,0.758633064
535,121.4639133,31.36279181,0.537589155,0.385313719,0.525947885,0.5,0.469748821,0.521063855,0.489943906
536,121.4641066,31.36230742,0.441673715,0.330768203,0.450533496,0.43424877,0.435066313,0.467628238,0.426653123
537,121.4642875,31.36181489,0.674730951,0.442073234,0.625540481,0.581619835,0.5,0.594258379,0.569703813
538,121.4644727,31.36132333,0.310043057,0.308385334,0.348618247,0.364874316,0.419354489,0.394955904,0.357705225
587,121.4913628,31.36536008,0.701961586,0.800553445,0.713626182,0.676018326,0.657181891,0.644291106,0.698938756
588,121.4908758,31.36516764,0.874051529,0.765734753,0.819737139,0.756717109,0.653108367,0.747502308,0.769475201
