id,lng,lat,total_2019,total_2013,difference
1766,121.3978534,31.34903724,0.710060602,0.618512605,0.091547997
1776,121.4004744,31.34957543,0.704263038,0.666366048,0.03789699
1777,121.3999677,31.34944651,0.748792504,0.683307356,0.065485148
1779,121.3989656,31.34914562,0.749195412,0.715524917,0.033670495
1782,121.4011306,31.34920081,0.683059444,0.669841433,0.013218011
1783,121.4012933,31.34870275,0.708032737,0.646416859,0.061615878
1784,121.4014316,31.34819971,0.630776577,0.596973861,0.033802716
1785,121.4015908,31.34770038,0.678657347,0.658187956,0.020469391
1786,121.4017328,31.34719866,0.672732583,0.643883974,0.028848609
1787,121.4018889,31.34669824,0.679553844,0.62381254,0.055741304
1788,121.4020322,31.34619697,0.652403845,0.616721622,0.035682223
1789,121.4021867,31.34569602,0.640752583,0.582821484,0.057931099
1791,121.4024868,31.34469836,0.659632869,0.6435512,0.016081669
1792,121.4026515,31.34420603,0.609314802,0.604237273,0.005077529
1793,121.4027871,31.34370091,0.627905288,0.648593046,-0.020687758
1794,121.4029492,31.34320763,0.686916044,0.706902115,-0.019986071
1795,121.4030874,31.34270336,0.579428475,0.628831624,-0.049403149
1796,121.4032418,31.3422065,0.690337068,0.617568216,0.072768852
1797,121.4033857,31.34170512,0.440817774,0.341512455,0.099305319
1798,121.4038618,31.34160195,0.634159748,0.551382669,0.082777079
1799,121.4043719,31.34170593,0.733437453,0.676597384,0.056840069
1800,121.404888,31.34176738,0.699989023,0.679141041,0.020847982
1801,121.405408,31.34181345,0.690172699,0.702412725,-0.012240026
1802,121.4059185,31.34191253,0.606210719,0.682798686,-0.076587967
1803,121.4064291,31.34201208,0.503310065,0.631800217,-0.128490152
1805,121.4074653,31.342121,0.482103369,0.283701401,0.198401968
1806,121.4079763,31.34221738,0.71203736,0.685856469,0.026180891
1807,121.4084877,31.34231125,0.455258794,0.537688097,-0.082429303
1808,121.4090013,31.34239318,0.314792744,0.563364275,-0.248571531
1809,121.4095244,31.34241859,0.48046321,0.657007967,-0.176544757
1812,121.4014593,31.34984514,0.731110195,0.750828738,-0.019718543
1813,121.4019603,31.34999942,0.720409535,0.762006559,-0.041597024
1814,121.4024546,31.35017221,0.727109292,0.758833282,-0.03172399
1815,121.4029614,31.35029893,0.734173244,0.763131925,-0.028958681
1816,121.4034555,31.3504729,0.72593789,0.752402097,-0.026464207
1817,121.403953,31.35063663,0.720524407,0.736509032,-0.015984625
1818,121.4044537,31.35078696,0.739596782,0.728902741,0.010694041
1819,121.4049551,31.35093389,0.744560546,0.692976902,0.051583644
1820,121.4054519,31.35109994,0.764768063,0.740288178,0.024479885
1821,121.405956,31.35124003,0.695510227,0.699440316,-0.003930089
1822,121.4062044,31.35077467,0.699565728,0.685086471,0.014479257
1823,121.406415,31.35029303,0.700636396,0.747581184,-0.046944788
1824,121.4066207,31.34980929,0.757470745,0.755317211,0.002153534
1825,121.4068247,31.34932476,0.737338331,0.740624951,-0.00328662
1826,121.4070372,31.34884399,0.726676327,0.735938349,-0.009262022
1827,121.4072413,31.34835957,0.717591179,0.728693282,-0.011102103
1828,121.4074383,31.3478726,0.738491708,0.758846215,-0.020354507
1829,121.4076473,31.34739325,0.7260901,0.751620045,-0.025529945
1830,121.4078923,31.34692862,0.67905034,0.748335356,-0.069285016
1831,121.4081275,31.3464585,0.643051834,0.717072064,-0.07402023
1832,121.4083417,31.3459813,0.65877709,0.740638776,-0.081861686
1833,121.4085333,31.34549437,0.681817843,0.736196563,-0.05437872
1834,121.4087736,31.34502982,0.686145642,0.74865342,-0.062507778
1835,121.4089825,31.34454973,0.660774799,0.739318491,-0.078543692
1836,121.4091945,31.34407073,0.700418901,0.738318785,-0.037899884
1837,121.4093798,31.34357935,0.659555617,0.66928761,-0.009731993
1838,121.4095245,31.34307425,0.417770132,0.447466096,-0.029695964
1839,121.4097431,31.3425981,0.597857631,0.66016871,-0.062311079
1840,121.4064714,31.35139372,0.749491243,0.694289313,0.05520193
1841,121.4069763,31.35153975,0.743480629,0.745077689,-0.00159706
1842,121.4074818,31.35167757,0.730945366,0.753104534,-0.022159168
1843,121.4079834,31.35181366,0.721407441,0.75421059,-0.032803149
1844,121.4084793,31.35198044,0.752954183,0.739551444,0.013402739
1845,121.4089855,31.35210932,0.719262301,0.754763539,-0.035501238
1846,121.4094698,31.35230674,0.747106076,0.734965994,0.012140082
1847,121.4099807,31.35240647,0.731683303,0.76715025,-0.035466947
