id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
1341,121.4429715,31.35902168,0.456978477,0.271574766,0.42123057,0.424010782,0.424320263,0.468873875,0.411164789
1348,121.4413976,31.35849283,0.732992476,0.557315825,0.655303826,0.609685609,0.571644113,0.634703987,0.626940973
1349,121.441641,31.35802814,0.701565401,0.460143071,0.608290812,0.565989244,0.537973714,0.608475914,0.580406359
1350,121.4417903,31.35752784,0.514069465,0.25476546,0.425412382,0.426354524,0.447620695,0.490835824,0.426509725
1351,121.4416417,31.35702853,0.662667359,0.5,0.574699974,0.54320396,0.556280822,0.590614883,0.5712445
1352,121.4413923,31.35656623,0.299505951,0.211917914,0.276530253,0.328694105,0.406697845,0.377097668,0.316740623
1370,121.4553013,31.35641464,0.182289822,0.143351226,0.200287443,0.256790289,0.312048761,0.29906059,0.232304689
1371,121.4550963,31.35692475,0.192990377,0.131104165,0.208042661,0.268642154,0.296374985,0.305819582,0.233828987
1372,121.4559253,31.35488467,0.21184801,0.128949742,0.219362875,0.272680455,0.300119891,0.317403612,0.241727431
1373,121.4557369,31.35537529,0.191819178,0.127039348,0.199791234,0.25788576,0.300626123,0.303388672,0.230091719
1374,121.4644237,31.35740261,0.820360329,0.573390536,0.742498738,0.676498254,0.575336311,0.690546835,0.679771834
1375,121.4639376,31.35721054,0.830516365,0.655210048,0.773724264,0.7037707,0.601336725,0.704995851,0.711592326
1376,121.4634572,31.35700477,0.892494238,0.627509998,0.810136029,0.737609074,0.599343986,0.748930798,0.736004021
1377,121.4629813,31.35678451,0.550914102,0.401768021,0.511119185,0.5,0.5,0.528435423,0.498706122
1378,121.4624951,31.35659255,0.5,0.302233649,0.481610531,0.459928624,0.425877583,0.492992796,0.443773864
1379,121.462014,31.35638926,0.717166068,0.466313121,0.661462981,0.598417901,0.517069329,0.618589299,0.596503117
1380,121.46153,31.35619076,0.411232241,0.529134091,0.462362201,0.469703086,0.518940329,0.469143422,0.476752562
1381,121.4610531,31.35597355,0.487242683,0.343961649,0.488240967,0.460691909,0.440405336,0.491690353,0.452038816
